name;house_number;street;area;postal_code;city;location_lat;location_lng;long_name;phone_number;website;url;plus_code;place_id;rating;price_level;vicinity;wheelchair_accessible_entrance
ASIA Viet Long Bad-Cannstatt;12;Waiblinger Str.;Bad Cannstatt;70372;Stuttgart;None;None;ASIA Viet Long Bad-Cannstatt;+49 711 55348318;None;https://maps.google.com/?cid=8722045273334859195;8FWFR639+76;ChIJi_gBGBjFmUcRu8X_9_btCnk;4.6;1;Waiblinger Straße 12, Stuttgart;True
Bambus Asia Imbiss;87;Schloßstraße;Stuttgart-West;70176;Stuttgart;None;None;Bambus Asia Imbiss;+49 711 2635805;https://bambus-imbiss.de/;https://maps.google.com/?cid=16891631075849895973;8FWFQ5G6+79;ChIJ6xyS4UDbmUcRJYD7wPcga-o;4;1;Schloßstraße 87, Stuttgart;False
Asia Zur Krone;15;Am Kronenhof;None;73728;Esslingen am Neckar;None;None;Asia Zur Krone;+49 711 91468333;http://asia-zur-krone.npage.de/;https://maps.google.com/?cid=17525977990440430350;8FWFP8Q3+G8;ChIJryXZHzfBmUcRDiuELSDIOPM;4.3;1;Am Kronenhof 15, Esslingen am Neckar;None
Sichuan China Restaurant;27;Bebelstraße;Stuttgart-West;70193;Stuttgart;None;None;Sichuan China Restaurant;+49 711 50477452;None;https://maps.google.com/?cid=15439161217195578339;8FWFQ5F3+WX;ChIJZdeEbGrbmUcR4xPurFPrQtY;4.5;1;Bebelstraße 27, Stuttgart;False
Mulan Garden;12A;Schulstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Mulan Garden;+49 711 2845309;https://mulan-garden.business.site/;https://maps.google.com/?cid=13223937982968536185;8FWFQ5GG+CR;ChIJXyFbEUrbmUcReZyiNojdhLc;3.1;1;Schulstraße 12A, Stuttgart;True
China Restaurant Asia Sonnengarten;14;Christophstraße;Stuttgart-Mitte;70178;Stuttgart;None;None;China Restaurant Asia Sonnengarten;+49 711 25968278;None;https://maps.google.com/?cid=1607718348915732873;8FWFQ5CG+HC;ChIJi95Nc0zbmUcRifH__VHDTxY;4.4;1;Christophstraße 14, Stuttgart;None
New Shanghai Restaurant;291;Heilbronner Str.;Feuerbach;70469;Stuttgart;None;None;New Shanghai Restaurant;+49 711 86060788;http://www.new-shanghai-restaurant.de/;https://maps.google.com/?cid=15621753307090702885;8FWFR57H+5M;ChIJoSKs9MbamUcRJdLsfd2dy9g;4.4;2;Leitzstraße 47, Heilbronner Straße 291, Stuttgart;True
KuaiStyle Restaurant;27;Hirschstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;KuaiStyle Restaurant;+49 711 24853286;https://www.facebook.com/kuaistyle;https://maps.google.com/?cid=9933645099585833693;8FWFQ5FG+PH;ChIJU_GZzEvbmUcR3QqdXZZl24k;4.5;2;Hirschstraße 27, Stuttgart;None
China Restaurant CQ Flavour;126;Kirchheimer Str.;Sillenbuch;70619;Stuttgart;None;None;China Restaurant CQ Flavour;+49 711 4791300;http://cqflavour.de/;https://maps.google.com/?cid=1279229940164008685;8FWFP6R9+2C;ChIJR-2yAHfDmUcR7RqFWdq8wBE;4.4;2;Kirchheimer Straße 126, Stuttgart;True
Dynasty;54;Mahdentalstraße;None;71065;Sindelfingen;None;None;Dynasty;+49 7031 8195928;http://www.china-sifi.de/;https://maps.google.com/?cid=12973906622992646721;8FWFP249+VV;ChIJnUM7FzjemUcRQYKQvFWTDLQ;4.4;2;Mahdentalstraße 54, Sindelfingen;True
Tsang’s Kitchen Hong Kong Cuisine;11;Möhringer Landstraße;Vaihingen;70563;Stuttgart;None;None;Tsang’s Kitchen Hong Kong Cuisine;+49 711 50464841;https://tsangs-kitchen-hong-kong-cuisine.business.site/?utm_source=gmb&utm_medium=referral;https://maps.google.com/?cid=6791047763625062805;8FWFP4H7+XR;ChIJDSlSV5TdmUcRlTGV4_WlPl4;4.2;None;Möhringer Landstraße 11, Stuttgart;True
Fast Food 4U!;13;Fangelsbachstraße;Süd;70180;Stuttgart;None;None;Fast Food 4U!;+49 711 90703732;https://fastfood4u.de/;https://maps.google.com/?cid=2679959044676867956;8FWFQ59F+3C;ChIJqdvrRmbbmUcRdFePVo0gMSU;4.5;None;Fangelsbachstraße 13, Stuttgart;None
Burger King;4;Königstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Burger King;+49 711 28451720;https://www.burgerking.de/;https://maps.google.com/?cid=12599524422460792209;8FWFQ5JJ+VH;ChIJGwgGA-PbmUcRkV2iA7WA2q4;3.2;2;Königstraße 4, Stuttgart;True
Food Truck;4;Pfaffenwaldring;Vaihingen;70569;Stuttgart;None;None;Food Truck;None;https://www.uni-stuttgart.de/universitaet/aktuelles/news/Food-Trucks-am-Campus-Vaihingen/;https://maps.google.com/?cid=11782886925085806005;8FWFP4X6+F5;ChIJ9xp10jndmUcRtY1V3jo5haM;None;None;Pfaffenwaldring 4, Stuttgart;None
Kochlöffel;30;Innere Brücke;None;73728;Esslingen am Neckar;None;None;Kochlöffel;+49 711 3508890;http://www.kochloeffel.de/;https://maps.google.com/?cid=1910277514693872248;8FWFP8R4+47;ChIJu_r7TDHBmUcReIq-TUergho;3.4;1;Innere Brücke 30, Esslingen am Neckar;True
McDonald's;12;Marienstraße;Stuttgart-Mitte;70178;Stuttgart;None;None;McDonald's;+49 711 626273;https://www.mcdonalds.com/de/de-de/restaurant-suche.html/l/stuttgart/marienstrasse-12/110&cid=listing_0110;https://maps.google.com/?cid=15514729810307400102;8FWFQ5FF+97;ChIJjZQuGUnbmUcRpkGJ2Y9kT9c;3.5;2;Marienstraße 12, Stuttgart;True
Udo Snack;40;Schwarenbergstraße;Stuttgart Ost;70190;Stuttgart;None;None;Udo Snack;+49 711 2865658;https://udosnack.de/;https://maps.google.com/?cid=15759807888092641002;8FWFQ6Q2+6P;ChIJL2LyUdrEmUcR6jYpcsYVtto;4.8;None;Schwarenbergstraße 40, Stuttgart;True
Le Tonneau Bistro;92;Schwabstraße;Stuttgart-West;70193;Stuttgart;None;None;Le Tonneau Bistro;+49 711 608010;https://www.petitefrance.de/;https://maps.google.com/?cid=8823652534942210631;8FWFQ5H4+79;ChIJ9UjXtmrbmUcRR5q0Fjvpc3o;4.5;2;Schwabstraße 92, Stuttgart;None
French Open Restaurant;73;Emerholzweg;Stammheim;70439;Stuttgart;None;None;French Open Restaurant;+49 711 86052321;None;https://maps.google.com/?cid=1686729910480730514;8FWFV43Q+CM;ChIJMQ3bHJHQmUcRkvk6uup3aBc;None;None;Emerholzweg 73, Stuttgart;None
Augustenstüble;104;Augustenstraße;Stuttgart-West;70197;Stuttgart;None;None;Augustenstüble;+49 711 621248;http://www.augustenstüble.de/;https://maps.google.com/?cid=10173007036674192803;8FWFQ595+H2;ChIJ57LuJ0PbmUcRo7WDPgDILY0;4.8;3;Augustenstraße 104, Stuttgart;False
Restaurant Le Cassoulet;30;Willy-Brandt-Straße;Stuttgart-Mitte;70173;Stuttgart;None;None;Restaurant Le Cassoulet;+49 711 22212270;https://www.opentable.de/r/brunch-im-le-meridien-stuttgart;https://maps.google.com/?cid=10216078409042615406;8FWFQ5MQ+HH;ChIJo3Y_sM3EmUcRbtyFmC_Nxo0;3.7;None;Willy-Brandt-Straße 30, Stuttgart;None
Bistro Einstein;5;Wilhelmspl.;Stuttgart-Mitte;70182;Stuttgart;None;None;Bistro Einstein;+49 711 2349797;http://www.bistroeinstein.de/;https://maps.google.com/?cid=3125836497546962801;8FWFQ5CH+JH;ChIJWfPhnUzbmUcRcec8rrszYSs;4;2;Wilhelmsplatz 5, Stuttgart;None
IBIS KITCHEN;15;Presselstraße;Nord;70191;Stuttgart;None;None;IBIS KITCHEN;+49 711 255510;https://restaurants.accor.com/de/restaurant-2202_R002-ibis-kitchen-stuttgart.shtml;https://maps.google.com/?cid=1022786210426233727;8FWFR52M+FQ;ChIJt0XoBdTamUcRf6OfsaOqMQ4;5;None;Presselstraße 15, Stuttgart;True
Épicerie Fine;136;Olgastraße;Süd;70180;Stuttgart;None;None;Épicerie Fine;+49 711 40795268;http://www.epiceriefine.de/;https://maps.google.com/?cid=8511382152534438828;8FWFQ58G+6P;ChIJYzpqk1LbmUcRrDNq9fiAHnY;4.7;2;Olgastraße 136, Stuttgart;False
Rafa;47;Weidenweg;Sulzgries;73733;Esslingen am Neckar;None;None;Rafa;None;None;https://maps.google.com/?cid=2988270254192317774;8FWFQ75X+6P;ChIJDdekcFTHmUcRTtX_sfZ3eCk;None;None;Weidenweg 47, Esslingen am Neckar;None
Chito & Gvrito;23;Heinrich-Baumann-Straße;Stuttgart Ost;70190;Stuttgart;None;None;Chito & Gvrito;+49 711 91244491;http://www.chito-and-gvrito.de/;https://maps.google.com/?cid=17654274187237402516;8FWFQ5RX+3X;ChIJOfVnANrEmUcRlCeiQdaUAPU;4.5;2;Heinrich-Baumann-Straße 23, Stuttgart;True
Carls Brauhaus;1;Stauffenbergstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Carls Brauhaus;+49 711 25974611;https://www.carls-brauhaus.de/;https://maps.google.com/?cid=10432238617083097258;8FWFQ5HH+QX;ChIJd2ts_zTbmUcRqrBZ97_BxpA;4.3;2;Stauffenbergstraße 1, Stuttgart;True
Bärenschlössle;14;Mahdentalstraße;Stuttgart-West;70569;Stuttgart;None;None;Bärenschlössle;+49 711 692550;http://www.baerenschloessle.com/;https://maps.google.com/?cid=13018842285775804251;8FWFQ36R+9G;ChIJZ66k76jemUcRW1eABhU4rLQ;4.5;2;*Direkte Zufahrt nicht erlaubt !, Mahdentalstraße 14, Stuttgart;True
Wirtshaus Lautenschlager;24;Lautenschlagerstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Wirtshaus Lautenschlager;+49 711 25241260;https://www.wirtshaus-lautenschlager.de/;https://maps.google.com/?cid=3981150993039511535;8FWFQ5JH+82;ChIJIxtZqirbmUcR709QMbzjPzc;4.1;2;Lautenschlagerstraße 24, Stuttgart;True
Goldener Adler;38;Böheimstraße;Süd;70178;Stuttgart;None;None;Goldener Adler;+49 711 6338802;http://www.goldener-adler-stuttgart.de/;https://maps.google.com/?cid=14904215202410555282;8FWFQ567+WP;ChIJg9-p8FnbmUcRkmeou8Jo1s4;4.6;3;Böheimstraße 38, Stuttgart;False
Greek Kitchen Tavern;1;Rotbühlstraße;None;71063;Sindelfingen;None;None;Greek Kitchen Tavern;+49 7031 4666617;https://social.quandoo.com/en/groups/Greek-Kitchen-Tavern;https://maps.google.com/?cid=15037784112112955138;8FWFP283+Q4;ChIJ4aZUX6zfmUcRAm-B8_nwsNA;4.4;2;Rotbühlstraße 1, Sindelfingen;True
The Little Greek Taverna;27;Wilhelmstraße;Bad Cannstatt;70372;Stuttgart;None;None;The Little Greek Taverna;+49 711 5000177;http://www.littlegreektaverna.de/;https://maps.google.com/?cid=11484923778190305889;8FWFR648+7J;ChIJuQLqbj3FmUcRYWp4l1OlYp8;4.4;2;Wilhelmstraße 27, Stuttgart;False
The Greek Taste;6;Guts-Muths-Weg;Degerloch;70597;Stuttgart;None;None;The Greek Taste;+49 711 62037580;https://www.thegreektaste.de/;https://maps.google.com/?cid=10549384206096953666;8FWFQ53Q+CJ;ChIJSx9NnmfDmUcRQnGG2wrxZpI;4.6;None;Guts-Muths-Weg 6, Stuttgart;False
Greek Cuisine;43;Eberhardstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Greek Cuisine;+49 711 25515420;https://greekcuisine.online/5370?utm_source=google&utm_medium=mybusiness&utm_campaign=gb;https://maps.google.com/?cid=17076215430813057798;8FWFQ5FH+65;ChIJhzJH1OzbmUcRBgOo7XXn-uw;4.6;2;Eberhardstraße 41-43, Eberhardstraße 43, Stuttgart;None
Meze meze stuttgart;21;Katharinenstraße;Stuttgart-Mitte;70182;Stuttgart;None;None;Meze meze stuttgart;+49 711 39120690;https://mezemeze.de/stuttgart/;https://maps.google.com/?cid=13787453661392353949;8FWFQ5CJ+WF;ChIJHWrWRCfFmUcRnTpzVA7gVr8;4.2;None;Katharinenstraße 21, Stuttgart;False
CAVOS Taverna;20;Lautenschlagerstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;CAVOS Taverna;+49 711 3058050;http://www.cavos-stuttgart.de/;https://maps.google.com/?cid=8305368642885122868;8FWFQ5JH+M6;ChIJEx9PqjbbmUcRNPvV58aYQnM;3.7;2;Lautenschlagerstraße 20, Stuttgart;True
Meze Meze;110;Ob. Waiblinger Str.;Bad Cannstatt;70374;Stuttgart;None;None;Meze Meze;+49 711 20303980;https://mezemeze.de/bestellen/;https://maps.google.com/?cid=17511491565830673935;8FWFR64J+GM;ChIJi1RdOw7FmUcRDxaWnMxQBfM;4.4;2;Obere Waiblinger Straße 110, Stuttgart;True
BE GREEK BEST GYROS OF TOWN;45;Mayenner Str.;None;71332;Waiblingen;None;None;BE GREEK BEST GYROS OF TOWN;+49 7151 1692729;https://smaps.top/be-greek-best-gyros-of-town;https://maps.google.com/?cid=18123610129136177748;8FWFR8G7+C7;ChIJ_Rkqa4DHmUcRVFLVsmP_g_s;4.6;1;Mayenner Straße 45, Waiblingen;None
Indian Palace;11;Steinstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Indian Palace;+49 711 6724460;http://www.indianpalace-stuttgart.de/;https://maps.google.com/?cid=18287396355848291096;8FWFQ5FG+FP;ChIJ872vt0vbmUcRGEMcSRjiyf0;4;2;Steinstraße 11, Stuttgart;None
Ganesha Restaurant;19;Lembergstraße;Stuttgart Ost;70186;Stuttgart;None;None;Ganesha Restaurant;+49 711 4687981;http://www.ganesharestaurant.de/;https://maps.google.com/?cid=10948089301485320986;8FWFQ6J3+52;ChIJ5e92BsTEmUcRGntJ2DZt75c;4.5;2;Lembergstraße 19, Stuttgart;False
Namaste India am Berlinerplatz Liederhalle;53A;Schloßstraße;Stuttgart-West;70176;Stuttgart;None;None;Namaste India am Berlinerplatz Liederhalle;+49 711 50076200;http://namaste-india-restaurant.com/;https://maps.google.com/?cid=9919646122634938834;8FWFQ5H9+43;ChIJ6SAEWwDdmUcR0ok8jZepqYk;4.1;2;Schloßstraße 53A, Stuttgart;True
Indisches Indian Restaurant Vinayaga;20;Ostendstraße;Stuttgart Ost;70190;Stuttgart;None;None;Indisches Indian Restaurant Vinayaga;+49 711 50876893;http://www.vinayaga.de/;https://maps.google.com/?cid=17169846617245709151;8FWFQ6Q4+MP;ChIJbZWDodDEmUcRX3PfVIeMR-4;4.3;2;Ostendstraße 20, Stuttgart;False
Roshni`s Palace;33;Schloßstraße;Stuttgart-Mitte;70174;Stuttgart;None;None;Roshni`s Palace;+49 711 94529071;http://roshnis-palace.de/;https://maps.google.com/?cid=1017656703357926798;8FWFQ5HC+HQ;ChIJsRdbljfbmUcRjr3xQmFxHw4;4;2;Schloßstraße 33, Stuttgart;True
Indisches Restaurant KASHMIR;97;Leonberger Str.;Eltingen;71229;Leonberg;None;None;Indisches Restaurant KASHMIR;+49 7152 903232;https://www.kashmir-restaurant.de/;https://maps.google.com/?cid=2251247758654039631;8FWFQ2V6+W4;ChIJw1lDXuvYmUcRT-b3q-gJPh8;4.5;2;Leonberger Straße 97, Leonberg;True
Cavallino Spaghettaro;17;Leuschnerstraße;Stuttgart-Mitte;70174;Stuttgart;None;None;Cavallino Spaghettaro;+49 711 50483260;http://www.cavallino-spaghettaro.de/;https://maps.google.com/?cid=8818974394548717032;8FWFQ5G9+XF;ChIJcTkVx-zbmUcR6IVXpnxKY3o;4.3;2;Leuschnerstraße 17, Stuttgart;None
Ristorante La Scala;41;Friedrichstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Ristorante La Scala;+49 711 290607;http://la-scala-stuttgart.de/;https://maps.google.com/?cid=11687419833615726220;8FWFQ5HG+PV;ChIJWcll1TXbmUcRjDaFg2oOMqI;4.2;2;Friedrichstraße 41, Stuttgart;None
Nannina;14;Gaishämmerstraße;Stuttgart Ost;70186;Stuttgart;None;None;Nannina;+49 711 7775172;http://www.nannina.de/;https://maps.google.com/?cid=13520723362326740340;8FWFQ6H5+89;ChIJPdEm4cHEmUcRdH3PHUNCo7s;4.5;3;Gaishämmerstraße 14, Stuttgart;False
Little Italy Restaurant;30;Liststraße;Süd;70180;Stuttgart;None;None;Little Italy Restaurant;+49 711 6079032;http://www.little-italy-stuttgart.de/;https://maps.google.com/?cid=16714159079642745581;8FWFQ57F+C9;ChIJ0Um4uFPbmUcR7cp5pSCf9Oc;4.7;2;Liststraße 30, Stuttgart;False
Perbacco;41-43;Tübinger Str.;Süd;70178;Stuttgart;None;None;Perbacco;+49 711 99790097;http://www.perbacco.de/;https://maps.google.com/?cid=8787767521087289349;8FWFQ5CF+46;ChIJpxjzk07bmUcRBXgfNwBs9Hk;4.5;2;Tübinger Straße 41-43, Stuttgart;True
Trattoria Da Franco;32;Calwer Str.;Stuttgart-Mitte;70173;Stuttgart;None;None;Trattoria Da Franco;+49 711 294744;https://www.lanuovatrattoriadafranco.de/;https://maps.google.com/?cid=5612286508748104275;8FWFQ5GF+GH;ChIJOZNU6EnbmUcRU-KlM9jY4k0;3.6;None;Calwer Straße 32, Stuttgart;None
Italiani ( ma non troppo );23;Mailänder Platz;Stuttgart-Mitte;70173;Stuttgart;None;None;Italiani ( ma non troppo );+49 711 28413444;http://www.italiani-manontroppo.de/;https://maps.google.com/?cid=15517200432911469754;8FWFQ5RM+4H;ChIJg8OzjCvbmUcRusw5gJQrWNc;4.3;2;Mailänder Platz 23, Stuttgart;True
Ristorante Goldoni;151;Reinsburgstraße;Stuttgart-West;70197;Stuttgart;None;None;Ristorante Goldoni;+49 711 6599889;https://ristorante-goldoni.de/;https://maps.google.com/?cid=11834345189323633204;8FWFQ592+CC;ChIJx-T31GfbmUcRNPL8pj8KPKQ;4.5;2;Reinsburgstraße 151, Stuttgart;False
La Casa Del Gusto;151;Silberburgstraße;Stuttgart-West;70176;Stuttgart;None;None;La Casa Del Gusto;+49 711 6014746;http://www.lacasadelgusto.de/;https://maps.google.com/?cid=16251706503380626158;8FWFQ5F8+9V;ChIJf-F9E0bbmUcR7mrop_WoieE;4.5;2;Silberburgstraße 151, Stuttgart;False
Ristorante Cavallino;35;Weimarstraße;Stuttgart-West;70176;Stuttgart;None;None;Ristorante Cavallino;+49 711 616275;http://www.cavallino-stuttgart.de/;https://maps.google.com/?cid=13817471380518610678;8FWFQ5G8+P8;ChIJdfZ7cUfbmUcR9ibwMQOFwb8;4.4;2;Weimarstraße 35, Stuttgart;False
Ristorante La Piazza;11;Charlottenstraße;Stuttgart-Mitte;70182;Stuttgart;None;None;Ristorante La Piazza;+49 711 247873;https://www.lapiazza-stuttgart.de/;https://maps.google.com/?cid=15494807044972539138;8FWFQ5GM+2W;ChIJd7pOcbXEmUcRAu3OkumcCNc;4;2;Charlottenstraße 11, Stuttgart;True
Don Via Restaurant;14;Theodor-Heuss-Straße;Stuttgart-Mitte;70174;Stuttgart;None;None;Don Via Restaurant;+49 711 99789002;http://www.don-via.de/;https://maps.google.com/?cid=4157786135586542701;8FWFQ5GF+R9;ChIJiRZWMW_bmUcRbRSuH3Zsszk;4;None;Theodor-Heuss-Straße 14, Stuttgart;True
PIZZA & PASTA - San Marco;100;Plieninger Str.;Möhringen;70567;Stuttgart;None;None;PIZZA & PASTA - San Marco;+49 30 20213300;https://www.dormero.de/hotel-stuttgart/restaurant-bar/pizza-pasta-san-marco/;https://maps.google.com/?cid=6681391024143454373;8FWFP5C7+W8;ChIJCdY2ntTcmUcRpdCNp7wRuVw;2.5;None;Plieninger Straße 100, Stuttgart;None
IL NUOVO POSITANO;39;Calwer Str.;Stuttgart-Mitte;70173;Stuttgart;None;None;IL NUOVO POSITANO;+49 711 2262375;https://il-nuovo-positano.de/;https://maps.google.com/?cid=9837040367535093680;8FWFQ5GF+37;ChIJbcAPsEnbmUcRsHcbbBgwhIg;4.4;2;Calwer Straße 39, Stuttgart;False
Roberts cucina italiana;4;Breitscheidstraße;Stuttgart-Mitte;70174;Stuttgart;None;None;Roberts cucina italiana;+49 711 50493904;http://www.roberts-stuttgart.de/;https://maps.google.com/?cid=5895763844478971194;8FWFQ5H9+V7;ChIJbcVPoTfbmUcROq3Cvfr10VE;4.6;2;Bosch Areal, Breitscheidstraße 4, Stuttgart;True
Valle;3;Geschwister-Scholl-Straße;Stuttgart-Mitte;70174;Stuttgart;None;None;Valle;+49 711 2202727;http://www.ristorante-valle.de/;https://maps.google.com/?cid=7206818868749529606;8FWFQ5JG+W9;ChIJG2pqNjHbmUcRBvJl6JPDA2Q;4.5;2;Geschwister-Scholl-Straße 3, Stuttgart;None
L'Osteria;11;Kronprinzstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;L'Osteria;+49 711 65626187;https://losteria.net/de/restaurants/restaurant/stuttgart-kronprinzstrasse/?utm_source=google&utm_medium=Yext;https://maps.google.com/?cid=16267388018343636324;8FWFQ5GG+83;ChIJdYg3KynbmUcRZG3R4DZfweE;3.9;2;Kronprinzstraße 11, Stuttgart;True
Da Nello;42;Grazer Str.;Feuerbach;70469;Stuttgart;None;None;Da Nello;+49 711 854419;http://www.danello.de/;https://maps.google.com/?cid=11394966750168928612;8FWFR565+6W;ChIJFyRCGO_amUcRZNE02-INI54;4.6;2;Grazer Straße 42, Stuttgart;False
Sapori d'Italia;18;Widdersteinstraße;Untertürkheim;70327;Stuttgart;None;None;Sapori d'Italia;+49 711 3361961;http://sapori-d-italia.de/;https://maps.google.com/?cid=9034900419883519680;8FWFQ7J3+65;ChIJzwhY80XEmUcRwE4vHBBqYn0;4.8;2;Widdersteinstraße 18, Stuttgart;False
Empore;4;Dorotheenstraße;Stuttgart-Mitte;70173;Stuttgart;None;None;Empore;+49 711 4704400;http://www.empore-markthalle.de/;https://maps.google.com/?cid=13522190723440808868;8FWFQ5GH+GH;ChIJx2wLhkrbmUcRpJPFv9F4qLs;4;None;Dorotheenstraße 4, Stuttgart;False
Kikuya Japanese Restaurant;31;Calwer Str.;Stuttgart-Mitte;70173;Stuttgart;None;None;Kikuya Japanese Restaurant;+49 711 50095217;None;https://maps.google.com/?cid=2995772907947855801;8FWFQ5GF+7G;ChIJM6DOuEnbmUcRuY_4ZZYfkyk;4.2;None;Calwer Straße 31, Stuttgart;None
Keyaki Japanese Cuisine;5;Katharinenstraße;Stuttgart-Mitte;70182;Stuttgart;None;None;Keyaki Japanese Cuisine;+49 711 25517476;https://www.keyaki-stuttgart.de/;https://maps.google.com/?cid=16626093860203969935;8FWFQ5CH+MW;ChIJ5QEgWUvbmUcRj73C60bAu-Y;4.6;2;Katharinenstraße 5, Stuttgart;None
Tokio Dining;12;Steubenstraße;Stuttgart Ost;70190;Stuttgart;None;None;Tokio Dining;+49 711 50443102;https://www.tokiodining.de/;https://maps.google.com/?cid=6553347796518630332;8FWFQ6W5+83;ChIJo3kJSNjEmUcRvPMUjRkr8lo;4.7;2;Steubenstraße 12, Stuttgart;None
Japanisches Restaurant Kicho;19;Jakobstraße;Stuttgart-Mitte;70182;Stuttgart;None;None;Japanisches Restaurant Kicho;+49 711 247687;https://www.kicho.de/;https://maps.google.com/?cid=14184928260920018367;8FWFQ5CJ+JV;ChIJDe4HYLPEmUcRv4WJLBn92sQ;4.6;3;Jakobstraße 19, Stuttgart;False
Tokyo Sushi Bar;17;Poststraße;None;71032;Böblingen;None;None;Tokyo Sushi Bar;+49 173 8457362;https://tokyosushibb.de/;https://maps.google.com/?cid=11310984051783747177;8FWFM2M6+RG;ChIJUR_XTYPgmUcRacatIhGw-Jw;4.8;2;Poststraße 17, Böblingen;False
